,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,heat_source,sewer_system,sqft_garage,sqft_patio,yr_built,yr_renovated,lat,long,street address,city,zipcode,floodzones_in_zipcode,area_flood_score_max,area_flood_score_min,avg_area_flood_score,price,grade score,has_basement,on_waterfront,near_greenbelt,view score,nuisance,condition score
11708,1735800220,2022-06-03,2,1.0,930,6316,1.5,Gas,PUBLIC,0,60,1923,0,47.31016,-122.22436,335 3rd Street Northeast,Auburn,98002,"['X', 'AH', 'AE', 'AHB', 'C', 'AO']",2.5,2.333333333333333,2.416666666666667,193656.0,5,1,0,0,0,0,3
11709,7018000320,2021-09-24,2,2.0,2630,7035,1.0,Gas,PUBLIC,0,80,1999,0,47.74989,-122.227175,8417 Northeast 169th Street,Kenmore,98028,"['AE', 'X', 'A']",2.6666666666666665,2.333333333333333,2.5,899900.0,8,1,0,0,0,0,3
11710,122059030,2021-10-13,3,1.0,1120,11325,1.0,Electricity,PRIVATE,0,0,1970,0,47.42518,-122.10448999999998,17720 Southeast Petrovitsky Road,Renton,98058,"['AE', 'X', 'A', 'A05', 'C', 'A07', 'B']",2.4285714285714284,2.2857142857142856,2.3571428571428568,485000.0,7,0,0,0,0,1,4
11711,104560050,2021-09-03,4,3.0,2370,6360,2.0,Electricity,PUBLIC,440,180,1989,0,47.3069,-122.35847,32842 19th Avenue Southwest,Federal Way,98023,"['X', 'A', 'C']",2.0,1.6666666666666667,1.8333333333333333,580000.0,7,0,0,0,0,0,3
11712,2570600190,2022-03-10,3,2.5,2150,10499,1.0,Gas,PRIVATE,0,310,1966,0,47.77526,-122.236845,20221 77th Avenue Northeast,Kenmore,98028,"['AE', 'X', 'A']",2.6666666666666665,2.333333333333333,2.5,1400000.0,7,1,0,0,0,0,3
11713,3275850220,2022-02-04,4,2.5,2820,7917,2.0,Gas,PUBLIC,820,0,1988,0,47.690645,-122.10299,17743 Northeast 101st Court,Redmond,98052,"['AE', 'X', 'A', 'A06', 'B']",2.6,2.4,2.5,2510000.0,9,0,0,0,0,0,4
11714,8101900295,2021-11-12,4,3.0,2110,7425,1.0,Electricity,PUBLIC,600,140,1991,0,47.515945,-122.285305,3712 South Pilgrim Street,Seattle,98118,['X'],2.0,1.0,1.5,635000.0,7,1,0,0,0,1,3
11715,1313000640,2022-05-03,3,1.5,1740,12275,1.0,Gas,PUBLIC,380,700,1968,0,47.634175,-122.1007,17921 Northeast 27th Street,Redmond,98052,"['AE', 'X', 'A', 'A06', 'B']",2.6,2.4,2.5,1200000.0,8,0,0,0,0,1,4
11716,6067910010,2022-01-04,3,2.5,1820,10500,2.0,Electricity,PUBLIC,530,380,1978,0,47.542215,-122.181455,6673 119th Place Southeast,Bellevue,98006,"['X', 'AE', 'A']",2.6666666666666665,2.333333333333333,2.5,1025000.0,8,0,0,0,0,0,3
11717,2771603692,2021-12-03,2,2.0,1110,906,3.0,Electricity,PUBLIC,0,330,2021,0,47.63819,-122.39102,West Boston Street,Seattle,98199,"['X', 'A']",2.5,2.0,2.25,789999.0,8,0,0,0,0,0,3
11718,7138100090,2021-08-17,3,2.0,1390,9990,1.0,Gas,PUBLIC,460,170,1962,0,47.39686,-122.29881,22801 27th Avenue South,Des Moines,98198,"['X', 'A', 'AE', 'C', 'VE']",2.4,2.2,2.3,442000.0,7,0,0,0,0,0,3
11719,1445000050,2021-06-25,4,2.5,2280,115434,1.0,Electricity,PRIVATE,570,0,1978,0,47.478345,-122.024065,23645 Southeast 137th Street,Issaquah,98027,"['AE', 'X', 'AO', 'A', 'A04', 'C', 'B', 'AOB', 'A02']",2.555555555555556,2.4444444444444446,2.5,168600.0,8,1,0,0,0,0,3
11720,3332000395,2022-03-21,3,2.0,1420,5150,1.5,Gas,PUBLIC,230,250,1903,0,47.55056,-122.27344,4716 South Mead Street,Seattle,98118,['X'],2.0,1.0,1.5,900000.0,6,1,0,0,0,0,5
11721,2092700020,2021-08-06,3,1.0,940,6602,1.0,Oil,PUBLIC,360,0,1953,0,47.72278,-122.3024,2351 Northeast 130th Street,Seattle,98125,"['X', 'AE', 'A', 'C']",2.25,2.0,2.125,640000.0,7,0,0,0,0,0,3
11722,1545806960,2021-07-09,3,2.5,1060,8100,2.0,Gas,PUBLIC,480,0,1983,0,47.36169,-122.046765,22022 Southeast 268th Street,Maple Valley,98038,"['AE', 'X', 'A05', 'B', 'A', 'C', 'A01']",2.4285714285714284,2.2857142857142856,2.3571428571428568,535000.0,7,0,0,0,0,0,5
11723,3747000010,2021-07-20,3,2.5,1710,8118,2.0,Gas,PUBLIC,530,0,1990,0,47.39389,-122.19167,11203 Southeast 232nd Street,Kent,98031,"['X', 'AE', 'A', 'C']",2.25,2.0,2.125,595000.0,7,0,0,0,0,0,4
11724,3121069070,2022-02-09,3,2.0,1740,71874,1.0,Gas,PRIVATE,460,140,1969,0,47.2599,-122.10184,38103 181st Avenue Southeast,Auburn,98092,"['X', 'A', 'AE', 'AHB', 'A01', 'C', 'AH']",2.571428571428572,2.4285714285714284,2.5,699900.0,7,1,0,0,3,0,5
11725,4204400193,2021-09-27,4,3.5,1850,24000,2.0,Gas,PUBLIC,0,0,1936,0,47.4865,-122.222525,312 Stevens Avenue Northwest,Renton,98057,"['X', 'AE', 'C', 'AH', 'AHB', 'A04', 'A']",2.571428571428572,2.4285714285714284,2.5,740000.0,7,1,0,0,2,0,4
11726,8138870260,2021-11-02,3,2.5,1630,2060,2.0,Gas,PUBLIC,480,80,2013,0,47.54432,-122.01151000000002,1393 Northeast Hickory Lane,Issaquah,98029,"['X', 'AE']",2.5,2.0,2.25,961888.0,8,0,0,0,0,0,3
11727,8159610250,2021-11-02,4,2.5,2100,7824,1.0,Gas,PUBLIC,340,60,1975,0,47.34082,-122.27176,5005 South 291st Street,Auburn,98001,"['X', 'AE', 'A', 'AH', 'C']",2.4,2.2,2.3,569000.0,7,1,0,0,0,0,4
11728,2193300670,2022-03-10,4,4.0,2560,13020,1.0,Gas,PUBLIC,520,310,1981,0,47.6914,-122.09535,10212 184th Avenue Northeast,Redmond,98052,"['AE', 'X', 'A', 'A06', 'B']",2.6,2.4,2.5,1750000.0,8,1,0,0,0,0,3
11729,6073500070,2021-10-19,3,3.0,2450,5250,1.0,Electricity,PUBLIC,460,180,1985,0,47.69738,-122.3883,9244 25th Avenue Northwest,Seattle,98117,"['X', 'A']",2.5,2.0,2.25,1400000.0,8,1,0,0,2,0,3
11730,7655900247,2021-12-10,3,2.0,1150,9141,1.0,Electricity,PUBLIC,0,0,1952,0,47.73432,-122.33895,1614 North 145th Street,Shoreline,98133,"['X', 'A', 'AE', 'C']",2.25,2.0,2.125,400000.0,7,0,0,0,0,1,5
11731,721049099,2022-05-26,3,2.0,1800,20037,1.0,Electricity,PUBLIC,0,0,1958,0,47.32407,-122.3524,1315 Southwest 310th Street,Federal Way,98023,"['X', 'A', 'C']",2.0,1.6666666666666667,1.8333333333333333,685000.0,7,1,0,0,0,0,3
11732,844001270,2022-03-16,3,2.0,1840,9312,1.0,Electricity,PUBLIC,0,50,1906,0,47.31056,-121.9978,25811 Lawson Street,Black Diamond,98010,"['X', 'C']",1.5,1.0,1.25,575000.0,6,1,0,0,0,1,4
11733,8146300135,2021-10-05,4,3.5,2420,8536,1.0,Gas,PUBLIC,290,150,1959,0,47.60813,-122.1927,216 110th Place Southeast,Bellevue,98004,"['X', 'AE']",2.5,2.0,2.25,1880000.0,7,1,0,0,0,0,4
11734,7524950450,2022-02-12,4,2.5,2200,8346,2.0,Gas,PUBLIC,480,200,1984,0,47.56027,-122.082545,4705 193rd Avenue Southeast,Issaquah,98027,"['AE', 'X', 'AO', 'A', 'A04', 'C', 'B', 'AOB', 'A02']",2.555555555555556,2.4444444444444446,2.5,1840000.0,8,0,0,0,1,0,4
